source,titre,prix,surface_m2,prix_m2,pieces,type_bien,ville,quartier,description_carte,url
Bienici,15 EXCLUSIVITÉ Appartement 3 pièces 56 m² ,175000,56.0,3125.0,3.0,Appartement,Toulon,,15 EXCLUSIVITÉ Appartement 3 pièces 56 m² 83100 Toulon (Saint-Jean du Var) 175 000 € 3 125 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1973370?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,IBOX Mourillon 19 VIDÉO EXCLUSIVITÉ Maison 10 pièces 373 m² 83000 Toulon (Le Mourillon - La Mitre - Fort Lamalgue) 2 495,2495000,373.0,6689.01,10.0,Maison,Toulon,,IBOX Mourillon 19 VIDÉO EXCLUSIVITÉ Maison 10 pièces 373 m² 83000 Toulon (Le Mourillon - La Mitre - Fort Lamalgue) 2 495 000 € 6 689 €/m²,https://www.bienici.com/annonce/vente-de-prestige/toulon/maison/10pieces/hektor-mourillon-389981?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,IMMOBOX 16 VIDÉO EXCLUSIVITÉ Appartement 4 pièces 80 m² 83000 Toulon (La Rode) 320 000 € 4 000 €/m²,320000,80.0,4000.0,4.0,Appartement,Toulon,,IMMOBOX 16 VIDÉO EXCLUSIVITÉ Appartement 4 pièces 80 m² 83000 Toulon (La Rode) 320 000 € 4 000 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-sixfours-389978?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,Citya Estublier 18 VIDÉO UNIQUEMENT SUR BIEN’ICI* Appartement 3 pièces 56 m² 83000 Toulon (Saint-Jean du Var) 127 000 € ,127000,56.0,2267.86,3.0,Appartement,Toulon,,Citya Estublier 18 VIDÉO UNIQUEMENT SUR BIEN’ICI* Appartement 3 pièces 56 m² 83000 Toulon (Saint-Jean du Var) 127 000 € 2 268 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP951504A?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,18 EXCLUSIVITÉ Appartement 5 pièces 100 m² 83000 Toulon (Haute-ville) 291 000 € 2 910 €/m²,291000,100.0,2910.0,5.0,Appartement,Toulon,,18 EXCLUSIVITÉ Appartement 5 pièces 100 m² 83000 Toulon (Haute-ville) 291 000 € 2 910 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-1956005?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,15 EXCLUSIVITÉ Appartement 3 pièces 71 m² 83000 Toulon (Le Port) 265 000 € 3 732 €/m²,265000,71.0,3732.39,3.0,Appartement,Toulon,,15 EXCLUSIVITÉ Appartement 3 pièces 71 m² 83000 Toulon (Le Port) 265 000 € 3 732 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1956031?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,15 EXCLUSIVITÉ Appartement 3 pièces 62 m² 83000 Toulon (Saint-Roch) 155 000 € 2 371 €/m²,155000,62.0,2500.0,3.0,Appartement,Toulon,,15 EXCLUSIVITÉ Appartement 3 pièces 62 m² 83000 Toulon (Saint-Roch) 155 000 € 2 371 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1924846?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,23 EXCLUSIVITÉ Maison 5 pièces 111 m² 83200 Toulon (La Chapelle - Saint-André) 583 000 € 5 252 €/m²,583000,111.0,5252.25,5.0,Maison,Toulon,,23 EXCLUSIVITÉ Maison 5 pièces 111 m² 83200 Toulon (La Chapelle - Saint-André) 583 000 € 5 252 €/m²,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/iad-france-1931125?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,16 EXCLUSIVITÉ Maison 6 pièces 136 m² 83000 Toulon (La Serinette - La Barre) 690 000 € 5 074 €/m²,690000,136.0,5073.53,6.0,Maison,Toulon,,16 EXCLUSIVITÉ Maison 6 pièces 136 m² 83000 Toulon (La Serinette - La Barre) 690 000 € 5 074 €/m²,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/iad-france-1930426?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,CENTURY 21 Colbert Immobilier 32 360° EXCLUSIVITÉ Maison 8 pièces 204 m² ,658000,204.0,3225.49,8.0,Maison,Toulon,,CENTURY 21 Colbert Immobilier 32 360° EXCLUSIVITÉ Maison 8 pièces 204 m² 83100 Toulon (Sainte-Musse) 658 000 € 3 224 €/m²,https://www.bienici.com/annonce/vente/toulon/maison/8pieces/century-21-202_3064_4760?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,23 EXCLUSIVITÉ Appartement 2 pièces 40 m² 83000 Toulon (Saint-Roch) 102 700 € 2 568 €/m²,102700,40.0,2567.5,2.0,Appartement,Toulon,,23 EXCLUSIVITÉ Appartement 2 pièces 40 m² 83000 Toulon (Saint-Roch) 102 700 € 2 568 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ag060811-490412234?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,"IBOX Mourillon 32 360° EXCLUSIVITÉ Maison 8 pièces 266 m² 83000 Toulon (Le Cap Brun - Le Petit Bois) 3 900 000 € 14,7k €",3900000,266.0,14661.65,8.0,Maison,Toulon,,"IBOX Mourillon 32 360° EXCLUSIVITÉ Maison 8 pièces 266 m² 83000 Toulon (Le Cap Brun - Le Petit Bois) 3 900 000 € 14,7k €/m²",https://www.bienici.com/annonce/vente-de-prestige/toulon/maison/8pieces/hektor-mourillon-387624?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,16 EXCLUSIVITÉ Maison 4 pièces 88 m² 83200 Toulon (Les Routes) 445 000 € 5 057 €/m²,445000,88.0,5056.82,4.0,Maison,Toulon,,16 EXCLUSIVITÉ Maison 4 pièces 88 m² 83200 Toulon (Les Routes) 445 000 € 5 057 €/m²,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/iad-france-1889043?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,20 EXCLUSIVITÉ Appartement 3 pièces 67 m² 83000 Toulon (Champs-de-Mars) 183 000 € 2 731 €/m²,183000,67.0,2731.34,3.0,Appartement,Toulon,,20 EXCLUSIVITÉ Appartement 3 pièces 67 m² 83000 Toulon (Champs-de-Mars) 183 000 € 2 731 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1856922?q=%2Frecherche%2Fachat%2Ftoulon-83000
