id_annonce;titre;description;prix;surface_m2;prix_m2;pieces;chambres;salles_de_bain;type_bien;ville;code_postal;quartier;balcon;terrasse;jardin;ascenseur;cave;nb_parkings;etage;nb_etages_immeuble;surface_terrain_m2;classe_energie;classe_ges;date_publication;date_modification;frais_a_charge;prix_hors_frais;bien_neuf;type_compte;annonce_pro;url
nestenn-1-99939424826;Appartement T3 Aguillon avec parking;Découvrez cet appartement lumineux de type 3, situé au 4ème étage à Toulon dans le secteur d'Aguillon à 10 minutes des plages. se compose de 3 pièces, dont 2 chambres confortables. La cuisine est indépendante et vous apprécierez le séjour exposé sud-ouest, garantissant une belle luminosité tout au long de la journée. <br>L'appartement à un léger rafraichissement a prévoir il à déjà l'électricité qui à était refaite, les fenêtres en PVC double vitrage et des volets roulants électriques pour plus;172000.0;53.65;3205.96;3.0;2.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;4.0;12.0;;D;D;2026-02-13T11:15:43.707Z;2026-03-06T11:39:50.279Z;seller;172000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/nestenn-1-99939424826
hektor-atlasimmobilier-388445;Appartement T4 73m2 Aguillon;Appartement traversant de 73 m2 situé au 1er étage avec ascenseur, dans une résidence calme et bien entretenue. Il se compose d'un séjour lumineux, d'une cuisine ouverte, de trois chambres, d'une salle de bain et de WC séparés.<br>Travaux à prévoir (modernisation de la salle de bain).<br>Quartier recherché, à proximité immédiate des commerces, écoles, administrations et transports. À quelques minutes de la place du Mourillon et du bord de mer.<br>Idéal pour résidence principale ou investissement;177000.0;73.0;2424.66;4.0;3.0;;Appartement;Toulon;83000;Aguillon;0;0;0;1;0;;1.0;8.0;;E;B;2026-01-19T10:35:36.991Z;2026-02-23T10:09:47.968Z;;177000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-atlasimmobilier-388445
hektor-lessablettes-387882;TOULON- AGUILLON T4 TRAVERSANT AVEC BALCON & LOGGIA;Toulon - AGUILLON - Situé à proximité immédiate de toutes les commodités, venez découvrir ce bel appartement Type 4 de 66m2. Situé au 7ème étage avec ascenseur, ce dernier se compose d'une entrée, un séjour ouvrant sur un balcon exposé plein Sud, une cuisine indépendante, fonctionnelle, donne accès à une loggia fermée, parfaite pour un coin buanderie ou du rangement. L'espace nuit se compose de 3 chambres dont une avec douche, d'une salle d'eau, WC séparé et de nombreux rangements intégrés. Trav;180000.0;65.57;2745.16;4.0;3.0;;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;7.0;12.0;;D;C;1970-01-01T00:00:00.000Z;2026-03-10T05:05:53.602Z;seller;180000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-lessablettes-387882
ag920856-500617394;Appartement 83000;Superbe appartement traversant type F4 de 82 m² quasi neuf Situé au 2e étage avec ascenseur d'une copropriété bien entretenue, à proximité du centre-ville, des commerces et de la sortie d'autoroute, ce bel appartement F4 traversant et lumineux a été entièrement rénové : vous n'avez plus qu'à poser vos valises ! Il se compose d'une entrée, d'un spacieux salon/séjour, d'une cuisine aménagée et équipée, de trois belles chambres, d'un bureau, d'une salle d'eau moderne, de toilettes séparées, ainsi q;199500.0;82.0;2432.93;4.0;3.0;;Appartement;Toulon;83000;Aguillon;1;0;0;1;0;1.0;2.0;13.0;;D;D;1970-01-01T00:00:00.000Z;2026-03-08T10:27:14.101Z;seller;187730.0;0;mandatary;1;https://www.bienici.com/annonce/vente/toulon/flat/ag920856-500617394
hektor-gustonimmobilier-5263;T2 en dernier étage, terrasse (2017) - Aguillon;TOULON AGUILLON / LAMALGUE : Aguillon (Av de la resistance) dans une résidence récente (2017), appartement de Type 2 en dernier étage de 39 m2 habitables donnant sur terrasse coté Sud / Est et avec garage en sous sol. Cet appartement se compose comme suit : un hall d'entrée (porte blindée), un séjour avec cuisine aménagée ouverte donnant accès à la terrasse, au calme et sans vis-à-vis, une chambre, une salle d'eau et des WC. Résidence sécurisée, conforme aux normes PMR, avec ascenseur. Possibili;209500.0;39.0;5371.79;2.0;1.0;;Appartement;Toulon;83000;Aguillon;0;1;0;1;0;;2.0;3.0;;C;C;2026-02-03T16:37:36.799Z;2026-03-05T09:48:25.298Z;seller;209500.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-gustonimmobilier-5263
iad-france-1990217;Vente Appartement 3 pièces;iad France - Priscille Bruno vous propose: À VENDRE – Toulon Mourillon / Lamalgue – Superbe T3 traversant avec terrasse sans vis-à-vis<br>Vous rêvez de vivre dans l’un des quartiers les plus prisés de Toulon, entre le Mourillon et Lamalgue ? Cet appartement traversant Est/Ouest de 61 m² allie emplacement d’exception, calme et agréable extérieur. <br>Situé au 1er étage d’une petite résidence bien entretenue et au calme, il se compose d’une entrée, d’un séjour lumineux ouvrant sur une terrasse ens;220000.0;61.0;3606.56;3.0;2.0;;Appartement;Toulon;83000;Aguillon;0;0;0;0;0;;1.0;4.0;;C;A;2026-01-20T11:02:00.782Z;2026-02-25T15:57:25.504Z;seller;;0;mandatary;1;https://www.bienici.com/annonce/vente/toulon/flat/iad-france-1990217
hektor-royalimmolavaletteduvar-27156;Bel appartement T4 de 77,70 m2 avec balcons Quartier Aguil;Situé dans le secteur calme et recherché de l'Aguillon à Toulon, cet appartement entièrement rénové de type T4 de 77,70 m2 vous séduira par son confort, sa luminosité et son agencement idéal.<br>Il se compose d'une belle pièce de vie lumineuse, ouverte sur un balcon exposé sud-est, offrant une belle clarté tout au long de la journée. La cuisine est à aménager selon vos goûts et besoins. Trois chambres confortables, toutes avec accès à un beau balcon exposé nord-ouest, vous offriront calme et sér;220000.0;77.7;2831.4;4.0;3.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;0;;5.0;8.0;;C;C;1970-01-01T00:00:00.000Z;2026-03-04T10:04:52.809Z;seller;220000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-royalimmolavaletteduvar-27156
ag440414-509310626;Appartement 3 pièces;Spacieux 3 pièces de 82m2 Toulon quartier Aiguillon Situé dans le secteur d'Aguillon, cet appartement de 82 m² avec ascenseur bénéficie d'un bel emplacement, à proximité immédiate des commerces, des écoles et des transports en commun, offrant un cadre de vie pratique et agréable au quotidien. Installé au sein d'une copropriété bien entretenue, aucun travaux ne sont à prévoir : la façade a été votée, payée et les travaux seront réalisés en 2026. L'appartement se compose d'une entrée d'environ 4 m;247000.0;82.0;3012.2;3.0;2.0;;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;4.0;8.0;;C;D;2026-01-21T19:50:56.191Z;2026-03-09T18:38:55.061Z;seller;247000.0;0;mandatary;1;https://www.bienici.com/annonce/vente/toulon/flat/ag440414-509310626
twimmo-2064599;Toulon Aguillon, maison de 4 pcs occupée par une locataire de;TOULON AGUILLON, maison occupée par une locataire âgée de 80 ans. Vente en l'état avec locataire en place.<br>Maison de 95m2 au calme absolu avec jardin et terrasse dans un quartier prisé et recherché, proche des écoles et commodités.<br>Elle est composée au rez-de-chaussée d'une belle pièce à vivre et d'une cuisine avec coin salle à manger. Au premier étage, vous trouverez 3 chambres (dont 2 chambres de plus de 14m²) et une salle de bain avec wc.<br>La maison dispose d'une grande terrasse ensol;247000.0;96.0;2572.92;4.0;3.0;1.0;Maison;Toulon;83000;Aguillon;0;0;1;0;0;;;;204.0;E;E;1970-01-01T00:00:00.000Z;2026-02-15T13:19:34.749Z;purchaser;232000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/house/twimmo-2064599
hektor-fontpre-389609;TOULON-AGUILLON Maison à vendre;TOULON-AGUILLON: Maison de 95m2 sur un terrain de 204m2 vendu loué pour 740 euros/mois situé dans une rue calme. Elle se compose d'un séjour traversant, d'une cuisine dinatoîre. <br> A l'étage vous trouverez, deux grande chambres plus une chambre enfant/dressing, salle d'eau. <br> Un jardin avec un cabanon de rangement compléte ce bien. <br>;247000.0;95.0;2600.0;4.0;3.0;;Maison;Toulon;83000;Aguillon;0;0;1;0;0;;;3.0;204.0;E;E;1970-01-01T00:00:00.000Z;2026-02-24T21:24:38.058Z;purchaser;232000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/house/hektor-fontpre-389609
hektor-1463_EXPERTIMO22-268715;TOULON LA SERINETTE // APPARTEMENT 3-4P / 70m2 / PARKING / T;TOULON // APPARTEMENT 3-4P / 70m2 / PARKING / TERRASSE SUD<br>La Serinette-Le Cap Brun<br>Situé dans une résidence sécurisée avec gardien, parfaitement entretenue et dont la façade a récemment été refaite, découvrez ce spacieux appartement de 68,48 m2 Loi Carrez, situé au 2ème étage sur 4 avec ascenseur neuf.<br> <br>Baigné de lumière grâce à son exposition plein sud, cet appartement bénéficie d'une agréable terrasse de 10 m2 sans aucun vis-à-vis, idéale pour profiter du climat méditerranéen en;256250.0;68.48;3741.97;3.0;2.0;;Appartement;Toulon;83000;Aguillon;0;1;0;1;0;1.0;2.0;5.0;;C;A;2026-02-19T14:02:25.996Z;2026-02-24T08:24:07.158Z;seller;256250.0;0;mandatary;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-1463_EXPERTIMO22-268715
era-2-59108507;Appartement Toulon 4 pièce(s) 97m2;Appartement de type 4, situé au 4ème étage avec ascenseur d'une résidence sécurisée et fermée, offrant une surface<br>habitable de 97m2. Il comprend un vaste séjour donnant sur un long balcon, une cuisine indépendante aménagée/équipée, 3 chambres dont une avec dressing, une salle de bain avec double vasque ainsi qu'un WC indépendant avec point d'eau. Deux expositions Sud et Est garantissent une luminosité optimale. Le chauffage est électrique. Cet appartement se distingue par son extérieur de 13;257000.0;97.0;2649.48;4.0;3.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;0;;4.0;8.0;;D;A;1970-01-01T00:00:00.000Z;2026-03-01T19:43:56.156Z;seller;257000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/era-2-59108507
